pCO2,AOU,excess DIC,T,nDIC+0.768DO,DIC-0.5TA+0.83DO,DO Saturation,label,LOF_label
357.608,-9.476863368,-15.722,2.11,2413.782,1267.495,0.959975398,0,0
302.692,-12.90838031,-39.743,1.5,2400.14,1253.205,0.96898612,0,0
416.892,11.12199535,5.662,2.38,2416.296,1265.885,0.902098368,0,0
395.982,6.049222554,-1.377,1.83,2420.509,1269.32,0.916648843,0,0
377.114,-0.681941431,-8.073,1.69,2420.716,1269.525,0.935339031,0,0
419.445,23.22159473,8.16,14.7,2260.269,1111.93,0.846476134,0,0
431.208,25.63846423,12.851,14.6,2263.774,1115.19,0.837584179,0,0
370.148,2.443979187,-14.015,16.5,2233.412,1086.785,0.923963893,0,0
400.472,24.26284022,0.194,11.2,2291.045,1146.02,0.849026523,0,0
385.801,18.54933653,-6.114,12.3,2275.055,1131.53,0.867250583,0,0
401.295,17.9621167,0.56,14.3,2259.769,1114.31,0.866641939,0,0
394.032,21.95619254,-2.463,10.9,2293.422,1148.24,0.857532002,0,0
386.469,18.16568015,-5.805,12.2,2276.889,1132.745,0.868772245,0,0
392.875,26.11225448,-3.091,13.2,2260.547,1117.5,0.838280621,0,0
292.163,-31.25277135,-52.24,11.3,2284.486,1124.52,1.041601157,0,0
306.681,-15.74008544,-43.44,10.5,2290.236,1130.87,0.987023768,0,0
303.43,-34.18059043,-46.166,11.6,2289.402,1132.945,1.052584194,0,0
349.79,-10.83482107,-20.782,7.7,2340.541,1188.73,0.968187468,0,0
352.333,-8.819870464,-19.611,7.5,2342.059,1191.355,0.961629478,0,0
318.343,-21.91475803,-36.288,8.4,2326.211,1175.075,1.004707308,0,0
360.633,5.165103624,-15.896,6.9,2341.822,1194.415,0.91717256,0,0
348.145,-6.955383395,-21.014,6.0,2357.839,1210.3,0.954876202,0,0
343.37,-11.11307748,-22.677,5.1,2371.002,1222.02,0.966927101,0,0
334.922,1.91069716,-25.011,2.1,2396.132,1244.535,0.928110532,0,0
343.908,4.847204573,-21.232,2.2,2396.204,1244.54,0.91985819,0,0
293.038,-13.11339659,-44.369,1.6,2395.187,1244.415,0.969572328,0,0
360.251,1.154836038,-14.446,2.0,2409.657,1255.205,0.930235536,0,0
312.903,-3.958183695,-34.773,1.7,2395.254,1244.065,0.944414273,0,0
314.283,-5.371037132,-34.041,1.7,2397.959,1246.1,0.948301363,0,0
347.881,2.202732205,-19.448,2.1,2402.195,1248.33,0.927299525,0,0
357.107,2.299950783,-15.69,2.1,2406.174,1250.68,0.927029854,0,0
337.528,3.988511045,-23.695,1.9,2399.032,1244.915,0.922370928,0,0
405.471,37.07061009,2.122,8.4,2315.088,1169.225,0.812065734,0,0
427.357,42.44070549,10.142,7.9,2325.371,1179.675,0.796105286,0,0
471.685,41.33697577,24.481,7.2,2349.751,1203.845,0.801910094,0,0
454.183,46.71825273,19.245,7.9,2331.792,1185.205,0.782407626,0,0
378.254,23.00731772,-9.044,9.7,2299.387,1154.3,0.855922463,0,0
401.386,32.12251085,0.544,8.7,2313.708,1168.0,0.827544335,0,0
472.303,45.9128671,24.899,7.7,2340.474,1193.845,0.785623173,0,0
397.641,40.68477364,-0.929,8.5,2308.445,1162.97,0.800050749,0,0
408.099,28.32662349,3.177,9.3,2312.177,1166.495,0.838790184,0,0
356.989,11.88135328,-19.993,15.1,2237.905,1086.07,0.888710055,0,0
379.649,24.26702622,-9.043,15.0,2240.856,1086.57,0.842211031,0,0
333.416,9.522314084,-31.71,14.4,2236.178,1080.155,0.898112613,0,0
332.026,-1.658246071,-33.733,15.3,2230.435,1087.315,0.93973543,0,0
395.988,21.89721239,-1.729,14.5,2255.665,1104.415,0.851984308,0,0
322.413,1.882789369,-39.574,16.2,2211.438,1064.655,0.926186023,0,0
363.653,11.07921016,-16.933,15.3,2237.066,1089.685,0.89142516,0,0
353.045,6.369923548,-22.488,15.9,2228.771,1081.395,0.909019898,0,0
333.841,5.424058544,-33.052,16.3,2214.175,1066.88,0.912480109,0,0
343.33,8.131413207,-23.204,5.1,2351.226,1208.075,0.908818645,0,0
315.66,6.964600928,-36.969,5.5,2332.886,1192.8,0.91213429,0,0
319.988,3.448590295,-34.025,4.5,2351.145,1210.15,0.923149119,0,0
320.03,1.828305983,-34.97,5.8,2335.19,1196.03,0.927816257,0,0
301.815,-3.171834948,-43.505,4.6,2345.579,1205.595,0.942946742,0,0
295.831,-6.788606255,-46.135,3.9,2354.405,1214.35,0.953428614,0,0
368.133,4.950911015,-15.215,17.9,2215.164,1064.1,0.913698035,0,0
357.758,-5.39599669,-20.283,16.7,2231.393,1084.395,0.954473695,0,0
354.637,-5.763379298,-21.698,15.9,2238.452,1092.37,0.955569623,0,0
378.108,22.66034798,-9.632,12.6,2264.303,1121.825,0.85199032,0,0
346.657,-1.265325304,-24.943,13.0,2263.474,1121.78,0.93803461,0,0
352.86,8.403066537,-21.411,12.0,2271.391,1128.935,0.903672993,0,0
372.164,23.02994307,-12.078,11.1,2278.671,1136.86,0.853246901,0,0
345.04,19.80760579,-25.005,11.0,2269.637,1127.835,0.864668711,0,0
358.185,21.03281015,-18.323,10.3,2283.986,1142.405,0.861544375,0,0
372.4,-6.1212772,-15.8,29.5135,2101.265,958.565,0.963623823,0,0
397.4,-3.9847384,-1.5,29.3311,2113.788,976.838,0.953068274,0,0
384.6,-6.6210075,-8.7,28.7359,2114.357,978.457,0.965762789,0,0
376.9,-6.5119601,-13.2,29.5802,2103.631,960.231,0.965581858,0,0
379.8,-6.5252748,-11.6,29.5895,2102.116,965.366,0.965735145,0,0
360.4,-8.2899552,-23.4,29.9227,2090.329,951.479,0.974610748,0,0
363.8,-3.9577315,-21.2,29.2029,2095.92,958.82,0.952891545,0,0
387.7,-5.3072648,-6.9,29.9031,2104.522,962.072,0.95979039,0,0
378.3,-4.7899871,-12.3,29.8392,2100.156,956.306,0.957183255,0,0
370.4,-6.3221644,-17.1,29.6078,2097.133,956.133,0.96471319,0,0
384.7,-7.056976,-8.7,29.1874,2109.427,975.927,0.968150831,0,0
397.8,-4.3806135,-1.2,29.117,2116.418,978.518,0.954948627,0,0
389.5,-4.0880906,-5.9,29.3321,2109.471,973.071,0.95357742,0,0
354.3,-8.1342145,-27.3,29.9335,2086.163,947.213,0.973847019,0,0
377.1,-7.5735512,-13.0,29.1237,2108.74,967.74,0.970576722,0,0
373.8,-7.8311367,-15.0,28.5478,2111.251,974.051,0.971550796,0,0
360.4,-6.2204357,-22.9,28.8689,2101.508,956.958,0.963792025,0,0
379.7,-6.7788046,-11.5,29.293,2107.761,965.661,0.966769352,0,0
373.2,-7.3385282,-15.4,29.499,2102.561,960.561,0.969626975,0,0
388.0,-4.4770047,-6.8,29.1545,2110.718,971.768,0.95543278,0,0
361.3,-7.0857715,-22.6,28.2027,2106.7,971.05,0.967737755,0,0
362.6,-7.0514519,-21.9,28.4533,2104.836,968.936,0.967707655,0,0
368.8,-6.4156574,-18.1,29.4065,2098.514,958.964,0.96507389,0,0
368.7,-10.225963,-18.0,27.5523,2120.433,984.233,0.982434553,0,0
384.0,-5.1487535,-9.1,29.1662,2108.716,974.016,0.958740427,0,0
381.9,-6.0488725,-10.3,29.0974,2108.929,972.079,0.96313022,0,0
383.3,-6.4036539,-9.5,29.1506,2109.495,973.445,0.964896509,0,0
369.7,-5.7402999,-17.6,29.0947,2101.48,966.08,0.961614964,0,0
373.9,-5.9342319,-15.1,29.0922,2104.146,968.746,0.962565505,0,0
367.6,-5.983155,-19.0,29.1783,2099.58,964.98,0.962843977,0,0
370.3,-5.0711469,-17.3,29.2086,2100.15,965.75,0.958375307,0,0
387.2,-6.1776418,-7.2,29.1416,2111.629,976.679,0.963782545,0,0
367.7,-5.9795989,-18.9,29.1771,2099.68,965.93,0.962825958,0,0
379.3,-4.1460789,-11.9,29.2366,2104.42,969.32,0.953836876,0,0
367.7,-12.401762,-18.9,29.6636,2100.613,964.013,0.99480091,0,0
388.0,-4.4931091,-6.7,29.1204,2111.001,971.401,0.955502118,0,0
370.4,-14.097521,-17.1,27.4388,2125.719,996.069,1.000865798,0,0
372.6,-8.5021902,-15.5,25.8741,2138.821,1008.821,0.973094632,0,0
