pCO2,AOU,excess DIC,T,nDIC+0.768DO,DIC-0.5TA+0.83DO,DO Saturation,label,LOF_label
609.0544047765434,5.1031170871714835,65.75419912351663,26.101,2234.6103830847455,1053.1484775612216,0.9752003235352145,1,1
564.9300292134285,12.868834888515948,49.8884064525364,18.04,2285.7564706746625,1132.0680499999999,0.9454585502443258,1,1
566.7040240950882,16.336327036761816,50.400633868574914,18.07,2283.360540511039,1129.2891799999998,0.9307437963445644,1,1
569.721742067486,8.624603078219877,51.35593799948674,18.23,2288.7703082046023,1135.13819,0.9633039949443403,1,1
568.5014766640961,12.060291858336882,50.98597010672074,18.17,2286.2173900680828,1132.42555,0.9487603923200658,1,1
567.4533313140273,6.919801885036378,50.63812112510186,18.11,2290.4640748497513,1136.9666799999998,0.9706072122346823,1,1
573.4731093980372,1.3449434406556122,52.27235941290837,18.1,2296.589328950942,1142.6312799999998,0.9942375269602786,1,1
566.0932511091232,13.757234673255482,50.19178478121739,18.03,2285.571490123351,1131.6299799999997,0.9417122719516571,1,1
563.3965483866632,4.328529622084005,49.47443356811982,18.06,2291.7145601055927,1138.79317,0.9816068572753623,1,1
572.1854395233095,8.53827439373012,52.033009511232194,18.21,2289.597090675722,1135.6494099999998,0.9636780186418558,1,1
566.5463395416737,11.731757956467817,50.632998850941476,18.48,2283.5745865567733,1130.6200499999998,0.94990426371097,1,1
563.7643625959754,15.254467180147373,49.542652946710405,18.01,2283.8375077564747,1130.08893,0.935392535179411,1,1
562.6355414278805,10.536346123991223,49.23135837614518,18.02,2287.075770597524,1133.7791399999999,0.9553499117028647,1,1
573.2860881835222,10.132586383109526,52.36619016230088,18.25,2288.335050473529,1134.2386099999999,0.9568772448140235,1,1
574.0947090089321,9.690659242053954,52.5780660480259,18.25,2288.9565061733856,1134.7670899999998,0.9587577360951467,1,1
578.1293730251491,9.99665997554294,53.64652587175351,18.24,2290.034573028081,1135.2620799999997,0.9574680712093758,1,1
573.6022721976042,8.924560063018674,52.489124742150125,18.31,2288.9066177408354,1134.9528399999997,0.9619742860853264,1,1
572.473683860153,9.3262633291221,52.08260243833047,18.18,2289.3670672062226,1135.25742,0.9603544028889541,1,1
571.9948094338179,10.851582563898887,51.99738642275315,18.24,2287.5569227736723,1133.5408099999997,0.9538333339819451,1,1
1595.5,-19.24296182,216.9195264,24.588,2404.011524,1261.323244,1.080138654,1,1
1010.9,-16.85872082,151.7683415,24.588,2336.850427,1191.436139,1.068735492,1,1
767.5,-16.20850566,108.7568534,24.588,2292.538062,1148.111972,1.065625694,1,1
566.0,-12.12364814,56.24950757,24.588,2235.977891,1092.216195,1.046088956,1,1
278.931,-3.794894689,-57.722,6.41,2313.706,1173.49,0.945251683,0,1
244.645,-27.88815188,-73.008,1.39,2379.046,1235.76,1.00999217,0,1
204.495,-30.03247042,-109.271,3.5,2313.888,1177.745,1.020793666,0,1
217.368,-32.98980729,-98.916,3.8,2322.125,1186.36,1.03028654,0,1
230.21,-20.70270149,-88.964,3.9,2321.727,1186.015,0.994356862,0,1
